"date_mday","date_hour",errorcode,"errorcode_malena","errorcode_partner",sms,result,subs,count
14,0,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",2,61
14,0,00,"respCode:2","Resp:FAILED","GGL+YA","33.3%25",6,6
14,0,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","100%25",1,1
14,0,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","33.3%25",2,2
14,0,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","75%25",1,1
14,0,03,"respCode:2","Resp:FAILED","UANGTEMAN+YA","trx_not_found",5,5
14,1,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",1,60
14,1,00,"respCode:2","Resp:FAILED","GGL+YA","33.3%25",4,4
14,1,03,"respCode:2","Resp:FAILED","UANGTEMAN+YA","trx_not_found",6,6
14,10,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",1,57
14,10,00,"respCode:2","Resp:FAILED","GGL+YA","33.3%25",4,4
14,10,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","0%25",2,2
14,10,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","100%25",2,2
14,10,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","33.3%25",8,8
14,10,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","55%25",1,1
14,10,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","75%25",5,5
14,10,03,"respCode:2","Resp:FAILED","UANGTEMAN+YA","trx_not_found",8,8
14,11,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",1,58
14,11,00,"respCode:2","Resp:FAILED","GGL+YA","33.3%25",9,9
14,11,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","0%25",1,1
14,11,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","100%25",3,3
14,11,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","33.3%25",7,7
14,11,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","75%25",7,7
14,11,03,"respCode:2","Resp:FAILED","UANGTEMAN+YA","trx_not_found",17,17
14,12,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",1,60
14,12,00,"respCode:2","Resp:FAILED","GGL+YA","33.3%25",7,7
14,12,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","100%25",1,1
14,12,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","33.3%25",9,9
14,12,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","75%25",2,2
14,12,01,"respCode:2","Resp:FAILED","UANGTEMAN+YA","double_confirm",1,1
14,12,03,"respCode:2","Resp:FAILED","UANGTEMAN+YA","trx_not_found",15,15
14,13,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",1,60
14,13,00,"respCode:2","Resp:FAILED","GGL+YA","33.3%25",17,17
14,13,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","0%25",2,2
14,13,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","100%25",2,2
14,13,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","33.3%25",3,3
14,13,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","55%25",1,1
14,13,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","75%25",4,4
14,13,01,"respCode:2","Resp:FAILED","UANGTEMAN+YA","double_confirm",1,1
14,13,03,"respCode:2","Resp:FAILED","UANGTEMAN+YA","trx_not_found",9,9
14,14,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",2,61
14,14,00,"respCode:2","Resp:FAILED","GGL+YA","33.3%25",8,8
14,14,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","100%25",1,1
14,14,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","33.3%25",5,5
14,14,01,"respCode:2","Resp:FAILED","UANGTEMAN+YA","double_confirm",1,1
14,14,03,"respCode:2","Resp:FAILED","UANGTEMAN+YA","trx_not_found",10,10
14,15,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",3,62
14,15,00,"respCode:2","Resp:FAILED","GGL+YA","33.3%25",6,6
14,15,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","100%25",2,2
14,15,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","33.3%25",6,6
14,15,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","55%25",4,4
14,15,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","75%25",1,1
14,15,01,"respCode:2","Resp:FAILED","UANGTEMAN+YA","double_confirm",1,1
14,15,03,"respCode:2","Resp:FAILED","UANGTEMAN+YA","trx_not_found",21,21
14,16,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",1,60
14,16,00,"respCode:2","Resp:FAILED","GGL+YA","33.3%25",4,5
14,16,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","100%25",2,2
14,16,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","33.3%25",8,8
14,16,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","55%25",3,3
14,16,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","75%25",6,6
14,16,01,"respCode:2","Resp:FAILED","UANGTEMAN+YA","double_confirm",1,1
14,16,03,"respCode:2","Resp:FAILED","UANGTEMAN+YA","trx_not_found",16,16
14,17,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",1,60
14,17,00,"respCode:2","Resp:FAILED","GGL+YA","33.3%25",6,6
14,17,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","0%25",3,3
14,17,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","100%25",2,2
14,17,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","33.3%25",3,3
14,17,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","55%25",3,3
14,17,00,"respCode:2","Resp:FAILED","UANGTEMAN+YA","75%25",2,2
14,17,03,"respCode:2","Resp:FAILED","UANGTEMAN+YA","trx_not_found",12,12
14,18,00,"respCode:2","Resp:FAILED","GGL+YA","0%25",1,60
